keys,es,en
GAME_STICK_NAVIGATION_BETAFLIGHT,Estilo Betaflight,Betaflight style
GAME_STICK_NAVIGATION_HELP_BETAFLIGHT,"Como el menú OSD de Betaflight: pitch arriba y abajo para moverte, roll a la derecha para aceptar y roll a la izquierda para volver. Sobre un deslizador o una lista, roll ajusta el valor. El acelerador nunca navega.","Like the Betaflight OSD menu: pitch up and down to move, roll right to select and roll left to go back. On a slider or a list, roll adjusts the value. Throttle never navigates."
GAME_STICK_NAVIGATION_HELP_YAW,"Pitch arriba y abajo para moverte, roll para ajustar valores, yaw a la derecha para aceptar y yaw a la izquierda para volver. El acelerador nunca navega.","Pitch up and down to move, roll to adjust values, yaw right to select and yaw left to go back. Throttle never navigates."
GAME_STICK_NAVIGATION_YAW,Aceptar con yaw,Select with yaw
GAME_TAB_GAMEPLAY,Juego,Game
GAME_TAB_HUD,HUD,HUD
GAME_TITLE,Juego y HUD,Game and HUD
GFX_BORDERLESS,Ventana sin bordes,Borderless window
GFX_FISHEYE,Lente ojo de pez,Fisheye lens
GFX_FISHEYE_FAST,Rápido,Fast
GFX_FISHEYE_FULL,Completo,Full
GFX_FISHEYE_MSAA,MSAA del ojo de pez,Fisheye MSAA
GFX_FISHEYE_RESOLUTION,Resolución del ojo de pez,Fisheye resolution
GFX_FULLSCREEN,Pantalla completa,Full screen
GFX_FULLSCREEN_MODE,Pantalla completa,Full screen
GFX_MAX_FPS,Límite de FPS,FPS limit
GFX_MSAA,Antialiasing (MSAA),Antialiasing (MSAA)
GFX_PRESET,Preset de calidad,Quality preset
GFX_QUALITY_CUSTOM,Personalizado,Custom
GFX_QUALITY_HIGH,Alta,High
GFX_QUALITY_LOW,Baja,Low
GFX_QUALITY_MEDIUM,Media,Medium
GFX_QUALITY_ULTRA,Ultra,Ultra
GFX_QUALITY_VERY_LOW,Muy baja,Very low
GFX_RESOLUTION,Resolución,Resolution
GFX_SAME_AS_GAME,Igual que el juego,Same as game
GFX_SECTION_DISPLAY,PANTALLA,DISPLAY
GFX_SECTION_FPV,CÁMARA FPV,FPV CAMERA
GFX_SECTION_QUALITY,CALIDAD,QUALITY
GFX_SHADOWS,Sombras,Shadows
GFX_SUBTITLE,Los cambios se aplican y guardan al instante,Changes are applied and saved instantly
GFX_TITLE,Gráficos,Graphics
GFX_TOGGLE_FULLSCREEN,Alternar,Toggle
GFX_UNLIMITED,Sin límite,Unlimited
GFX_VSYNC,Sincronización vertical,V-Sync
GFX_VSYNC_ADAPTIVE,Adaptativa,Adaptive
GFX_WINDOW,Ventana,Window
GFX_WINDOW_MODE,Modo de ventana,Window mode
HELP_ARMING,"[b]Arrancar el dron[/b]
Para volar primero hay que armarlo: el acelerador tiene que estar abajo del todo y hay que accionar el switch o botón de armado. En Controles, ""Armar (mantener)"" está pensado para un switch y ""Armar (alternar)"" para un botón.","[b]Starting the drone[/b]
To fly, the drone must be armed first: throttle must be at or very close to zero, then flick the Arm switch or press the Arm button. In Controls, ""Arm (hold)"" is meant for a switch and ""Arm (toggle)"" for a button."
HELP_AXIS_RANGES,"[b]Switches de varias posiciones[/b]
Podés asignar el mismo eje a varias acciones (potenciómetros y switches de 3 posiciones): cada acción tiene su propio rango activo dentro del eje.","[b]Multi-position switches[/b]
You can assign the same axis to several actions (potentiometers and 3-position switches): each action has its own active range on the axis."
HELP_DEVICE,"[b]Qué necesitás[/b]
Un gamepad o una radio (emisora), o cualquier dispositivo con 4 ejes que tu computadora reconozca. En la web, el navegador muestra el mando recién después de que pulsás uno de sus botones.","[b]What you need[/b]
A gamepad or a radio transmitter, or really any device with 4 axes that your computer recognizes. On the web, the browser only exposes the controller after you press one of its buttons."
HELP_FLIGHT_MODES,"[b]Modos de vuelo y color del LED[/b]
  •  Rojo: acro
  •  Azul: horizon
  •  Amarillo: speed
  •  Verde: posición
  •  Rojo intermitente: recuperación
Los modos estabilizados también mantienen la altura y pasan a recuperación si el dron se inclina más de 45 grados.","[b]Flight modes and LED color[/b]
  •  Red: acro
  •  Blue: horizon
  •  Yellow: speed
  •  Green: position
  •  Flashing red: recovery
Stabilized modes also hold altitude and switch to recovery when the bank angle exceeds 45 degrees."
HELP_HUD,"[b]HUD de orientación[/b]
Arriba al centro, la brújula. En el centro, la mira y la línea de horizonte, que por defecto coincide con el horizonte real de la cámara. A los costados, las cintas de velocidad y altura; arriba a la derecha, sus valores. Arriba a la izquierda, el modo de vuelo. Todo se configura en Opciones > Juego y HUD.","[b]Orientation HUD[/b]
Top center, the compass. In the center, the crosshair and the horizon line, which by default matches the real horizon of the camera. On the sides, the speed and altitude tapes; top right, their values. Top left, the flight mode. Everything can be configured in Options > Game and HUD."
HELP_INTRO,[b]Este simulador está en desarrollo.[/b] Podés reportar problemas [url=https://github.com/Cykyrios/GodotDrone][color={accent}]en GitHub[/color][/url].,[b]This simulator is a work in progress.[/b] Feel free to report issues [url=https://github.com/Cykyrios/GodotDrone][color={accent}]on GitHub[/color][/url].
HELP_KEYBOARD,"[b]Teclado[/b]
  •  C cambia la cámara activa
  •  R activa el modo carrera y lleva el dron a la plataforma más cercana
  •  M cambia el modo de vuelo
  •  Retroceso reinicia el dron y la carrera
  •  Escape abre el menú de pausa (F2 lo oculta sin reanudar)","[b]Keyboard[/b]
  •  C changes the active camera
  •  R toggles race mode and spawns the drone on the closest launch pad
  •  M cycles through flight modes
  •  Backspace respawns the drone and resets the race
  •  Escape opens the pause menu (F2 hides it without resuming)"
HELP_MENU_NAVIGATION,"[b]Menús con un solo periférico[/b]
Con gamepad: cruceta para moverte, A para aceptar y B para volver.
Con radio: pitch arriba y abajo para moverte, roll a la derecha para aceptar y roll a la izquierda para volver (sobre un deslizador, roll ajusta el valor). Podés cambiar el esquema en Opciones > Juego y HUD.","[b]Menus with a single device[/b]
With a gamepad: D-pad to move, A to select and B to go back.
With a radio: pitch up and down to move, roll right to select and roll left to go back (on a slider, roll adjusts the value). You can change the scheme in Options > Game and HUD."
HELP_TITLE,Ayuda,Help
HUD_ALT,ALT,ALT
HUD_ALTITUDE,Altura,Altitude
HUD_COMPASS,Brújula,Compass
HUD_COMPASS_E,E,E
HUD_COMPASS_N,N,N
HUD_COMPASS_NE,NE,NE
HUD_COMPASS_NW,NO,NW
HUD_COMPASS_S,S,S
HUD_COMPASS_SE,SE,SE
HUD_COMPASS_SW,SO,SW
HUD_COMPASS_W,O,W
HUD_COMPONENTS,ELEMENTOS,ELEMENTS
HUD_CROSSHAIR,Mira,Crosshair
HUD_FLIGHT_MODE,Modo de vuelo,Flight mode
HUD_GATE_MARKER,Marcador de la próxima puerta,Next gate marker
HUD_HORIZON,Línea de horizonte,Horizon line
HUD_HORIZON_ATTITUDE,Actitud del dron,Drone attitude
HUD_HORIZON_CAMERA,Real (cámara),Real (camera)
HUD_HORIZON_MODE,Horizonte,Horizon
HUD_LADDER,Escalera de cabeceo,Pitch ladder
HUD_MODE_ACRO,ACRO,ACRO
HUD_MODE_HORIZON,HORIZON,HORIZON
HUD_MODE_LAUNCH,LANZAMIENTO,LAUNCH
HUD_MODE_POSITION,POSICIÓN,POSITION
HUD_MODE_RECOVER,RECUPERACIÓN,RECOVERY
HUD_MODE_SPEED,SPEED,SPEED
HUD_MODE_TURTLE,TORTUGA,TURTLE
HUD_NUMBERS_RATE,Frecuencia de números,Numbers refresh rate
HUD_PRESET,Preset del HUD,HUD preset
HUD_PRESET_CUSTOM,Personalizado,Custom
HUD_PRESET_FULL,Completo,Full
HUD_PRESET_MINIMAL,Mínimo,Minimal
HUD_PRESET_STANDARD,Estándar,Standard
HUD_REC,REC,REC
HUD_REC_INDICATOR,Indicador de grabación,Recording indicator
HUD_RPM,RPM de motores,Motor RPM
HUD_SIDE_TAPES,Cintas laterales,Side tapes
HUD_SPD,VEL,SPD
HUD_SPEED,Velocidad,Speed
HUD_STATUS_ARMED,ARMADO,ARMED
HUD_STATUS_DISARMED,DESARMADO,DISARMED
HUD_STATUS_LAUNCH,CONTROL DE LANZAMIENTO,LAUNCH CONTROL
HUD_STATUS_RECOVERY,RECUPERACIÓN TRAS CHOQUE,CRASH RECOVERY
HUD_STATUS_RECOVERY_MODE,MODO RECUPERACIÓN,CRASH RECOVERY MODE
HUD_STATUS_THROTTLE_HIGH,ACELERADOR ALTO,THROTTLE HIGH
HUD_STATUS_TURTLE,MODO TORTUGA,TURTLE MODE
HUD_STICKS,Visor de sticks,Stick display
HUD_UNIT_KMH,km/h,km/h
HUD_UNIT_M,m,m
HUD_UNIT_MPS,m/s,m/s
HUD_VS,VS,VS
MENU_FLY,Volar,Fly
MENU_HELP,Ayuda,Help
MENU_OPTIONS,Opciones,Options
MENU_PAUSED,En pausa,Paused
MENU_PAUSED_HINT,El dron te espera en el aire,Your drone is waiting in the air
MENU_QUAD_SETTINGS,Ajustes del dron,Quad settings
MENU_QUIT,Salir,Quit
MENU_QUIT_CONFIRM,¿Querés salir del simulador?,Do you really want to quit?
MENU_RESUME,Continuar,Resume
MENU_RETURN_CONFIRM,¿Volver al menú principal? Se pierde la vuelta en curso.,Return to the main menu? The current lap will be lost.
MENU_RETURN_TO_MAIN,Menú principal,Main menu
MENU_TAGLINE,Simulador de vuelo FPV,FPV flight simulator
OPT_AUDIO,Audio,Audio
OPT_CONTROLS,Controles,Controls
OPT_GAME,Juego y HUD,Game and HUD
OPT_GRAPHICS,Gráficos,Graphics
OPT_SUBTITLE,Personalizá el simulador a tu gusto,Make the simulator yours
OPT_TITLE,Opciones,Options
QUAD_ACRO_PLUS,Acro+,Acro+
QUAD_BATTERY_WEIGHT,Peso de batería,Battery weight
QUAD_CAMERA_ANGLE,Ángulo de cámara,Camera angle
QUAD_CENTER_RATE,Center Rate,Center Rate
QUAD_DRY_WEIGHT,Peso en seco,Dry weight
QUAD_EXPO,Expo,Expo
QUAD_FOV,Campo de visión FPV,FPV field of view
QUAD_HELP_ACTUAL_EXPO,"Expo: reparte la diferencia entre Center Rate y Max Rate a lo largo del recorrido.
Con 0 la curva sube de forma progresiva desde el centro. Con valores altos se mantiene
cerca de Center Rate en gran parte del recorrido y la subida se concentra en los extremos:
precisión en el centro sin renunciar a un máximo alto. Orientativo: 0.3.","Expo: spreads the difference between Center Rate and Max Rate along the stick travel.
With 0 the curve rises progressively from the center. With high values it stays
close to Center Rate for most of the travel and the rise is concentrated at the ends:
precision in the center without giving up a high maximum. Guide: 0.3."
QUAD_HELP_ACTUAL_RATE,"Max Rate: velocidad de giro con el stick a fondo, en grados por segundo.
Define lo rápido que podés hacer un flip: a 360 un giro completo tarda 1 segundo.
Debe ser mayor que Center Rate; si son iguales, la curva es una recta y Expo no hace nada.
Orientativo: 400 para aprender, 670 es el valor por defecto de Betaflight.","Max Rate: rotation speed with the stick at full deflection, in degrees per second.
It defines how fast you can flip: at 360 a full turn takes 1 second.
It must be higher than Center Rate; if they are equal the curve is a straight line and Expo does nothing.
Guide: 400 to learn, 670 is the Betaflight default."
QUAD_HELP_ACTUAL_RC,"Center Rate: sensibilidad cerca del centro, en grados por segundo.
Al 10 % de stick obtenés el 10 % de este valor. Es el número que más define
la sensación en vuelo normal, porque casi siempre volás cerca del centro.
Orientativo: 70-100 para empezar, hasta 200 para pilotos ágiles.","Center Rate: sensitivity around the center, in degrees per second.
At 10 % stick you get 10 % of this value. It is the number that most defines
how normal flight feels, because you almost always fly near the center.
Guide: 70-100 to start, up to 200 for agile pilots."
QUAD_HELP_BATTERY_WEIGHT,"Peso de la batería, en gramos. Se suma al peso en seco.
Orientativo: una LiPo 4S de 1300 mAh pesa unos 180 g; una 6S de 1100 mAh, unos 200 g.","Battery weight, in grams. It adds to the dry weight.
Guide: a 4S 1300 mAh LiPo weighs about 180 g; a 6S 1100 mAh one, about 200 g."
QUAD_HELP_CAMERA_ANGLE,"Inclinación de la cámara FPV respecto al dron, en grados.
A mayor ángulo, más inclinado hacia adelante tenés que volar para ver el horizonte,
es decir, más rápido. Orientativo: 15-25 para freestyle tranquilo, 30-45 para carreras.","Tilt of the FPV camera relative to the drone, in degrees.
The higher the angle, the more you have to lean forward to see the horizon,
that is, the faster you fly. Guide: 15-25 for relaxed freestyle, 30-45 for racing."
QUAD_HELP_DRY_WEIGHT,"Peso del dron sin batería, en gramos.
Más peso significa más inercia, respuestas más lentas y menos empuje sobrante.
Orientativo: 550 g es un 5 pulgadas de freestyle con cámara de acción; 300 g, uno de carreras.","Weight of the drone without battery, in grams.
More weight means more inertia, slower responses and less spare thrust.
Guide: 550 g is a 5 inch freestyle quad with an action camera; 300 g, a racing one."
QUAD_HELP_FOV,"Campo de visión horizontal de la cámara FPV, en grados.
Más grande muestra más del entorno pero deforma más los bordes.
Orientativo: 150 es el valor por defecto con ojo de pez; 110-130 da una imagen más natural.","Horizontal field of view of the FPV camera, in degrees.
A wider view shows more of the surroundings but bends the edges more.
Guide: 150 is the default with the fisheye; 110-130 gives a more natural image."
QUAD_HELP_GRAPH,"Eje horizontal: posición del stick, de todo a la izquierda a todo a la derecha.
Eje vertical: velocidad de giro que pide esa posición.
P, R e Y: máximo de cada eje en grados por segundo.","Horizontal axis: stick position, from full left to full right.
Vertical axis: rotation speed requested by that position.
P, R and Y: maximum of each axis in degrees per second."
QUAD_HELP_KISS_EXPO,"RC Curve: expo de la zona central. 0 es lineal; cuanto más alto, más suave cerca del centro.","RC Curve: expo of the center. 0 is linear; the higher, the softer around the center."
QUAD_HELP_KISS_RATE,"Rate: curva ""super rate"" de 0 a 99. Cuanto mayor, más se concentra
la velocidad en los extremos del stick y mayor es el máximo.","Rate: ""super rate"" curve from 0 to 99. The higher, the more the speed
is concentrated at the ends of the stick travel and the higher the maximum."
QUAD_HELP_KISS_RC,RC Rate: sensibilidad general del stick. Multiplica toda la curva.,RC Rate: overall stick sensitivity. It scales the whole curve.
QUAD_HELP_PITCH,"Pitch: inclinar el morro arriba o abajo (stick derecho adelante y atrás).
Es lo que hace avanzar o frenar al dron.","Pitch: tilt the nose up or down (right stick forward and back).
It is what makes the drone move forward or brake."
QUAD_HELP_QUICKRATES_EXPO,"Expo: suaviza la zona central. 0 es lineal; cuanto más alto, más plano cerca del centro.","Expo: softens the center. 0 is linear; the higher, the flatter around the center."
QUAD_HELP_QUICKRATES_RATE,"Max Rate: velocidad de giro con el stick a fondo, en grados por segundo.","Max Rate: rotation speed with the stick at full deflection, in degrees per second."
QUAD_HELP_QUICKRATES_RC,RC Rate: sensibilidad cerca del centro.,RC Rate: sensitivity around the center.
QUAD_HELP_RACEFLIGHT_EXPO,"Expo: suaviza la zona central. 0 es lineal; cuanto más alto, más plano cerca del centro.","Expo: softens the center. 0 is linear; the higher, the flatter around the center."
QUAD_HELP_RACEFLIGHT_RATE,"Rate: velocidad de giro base con el stick a fondo, en grados por segundo, con Acro+ en 0.","Rate: base rotation speed with the stick at full deflection, in degrees per second, with Acro+ at 0."
QUAD_HELP_RACEFLIGHT_RC,"Acro+: añade velocidad extra hacia los extremos del stick.
El máximo real pasa a ser Rate x (1 + Acro+ / 100).","Acro+: adds extra speed toward the ends of the stick travel.
The real maximum becomes Rate x (1 + Acro+ / 100)."
QUAD_HELP_RATES_CURVE,"Fórmula que convierte la posición del stick en velocidad de giro.
Todas describen lo mismo con parámetros distintos. ACTUAL es la más fácil de razonar
porque sus valores están directamente en grados por segundo.
Al cambiar de curva los números se conservan pero cambian de significado:
pulsá Restablecer rates para cargar valores razonables de la curva elegida.","Formula that turns the stick position into a rotation speed.
They all describe the same thing with different parameters. ACTUAL is the easiest to reason
about because its values are directly in degrees per second.
When you change the curve the numbers are kept but their meaning changes:
press Reset rates to load sensible values for the selected curve."
QUAD_HELP_RESET_QUAD,"Restaura el ángulo de cámara, los pesos y el campo de visión por defecto.","Restores the default camera angle, weights and field of view."
QUAD_HELP_RESET_RATES,Carga los valores por defecto de la curva de rates seleccionada.,Loads the default values of the selected rates curve.
QUAD_HELP_ROLL,"Roll: inclinarse a izquierda o derecha (stick derecho lateral).
Desplaza el dron de costado. Conviene mantenerlo igual que Pitch:
el dron es simétrico en estos dos ejes.","Roll: lean left or right (right stick sideways).
It moves the drone sideways. Keep it equal to Pitch:
the drone is symmetric on these two axes."
QUAD_HELP_YAW,"Yaw: girar sobre el eje vertical, cambiar hacia dónde mira el morro
(stick izquierdo lateral). Es el eje más débil del dron, porque solo dispone
del par de reacción de las hélices, así que suele llevar un máximo algo menor.","Yaw: rotate around the vertical axis, change where the nose points
(left stick sideways). It is the weakest axis of the drone, because it only relies
on the reaction torque of the propellers, so it usually has a slightly lower maximum."
QUAD_MAX_RATE,Max Rate,Max Rate
QUAD_PITCH,Pitch,Pitch
QUAD_RATE,Rate,Rate
QUAD_RATES_CURVE,Curva de rates,Rates curve
QUAD_RC_CURVE,RC Curve,RC Curve
QUAD_RC_RATE,RC Rate,RC Rate
QUAD_RESET_QUAD,Restablecer dron,Reset quad
QUAD_RESET_RATES,Restablecer rates,Reset rates
QUAD_ROLL,Roll,Roll
QUAD_TITLE,Ajustes del dron,Quad settings
QUAD_YAW,Yaw,Yaw
RACE_DISMISS,Cerrar,Close
RACE_FALSE_START,¡Salida en falso!,False start!
RACE_FINISHED,¡Terminado!,Finished!
RACE_GO,¡YA!,GO!
RACE_LAP,VUELTA,LAP
RACE_RESULTS,Resultados,Results
RACE_TIME,TIEMPO,TIME
RACE_TIMER,"Vuelta ant.: %s (%d)
Vuelta act.: %s (%d)
Total: %s","Prev. lap: %s (%d)
Curr. lap: %s (%d)
Total: %s"
RACE_TOTAL,Total,Total
UI_BACK,Volver,Back
UI_CANCEL,Cancelar,Cancel
UI_CONFIRM,Confirmar,Confirm
UI_HINT_ACCEPT,Aceptar,Select
UI_HINT_ADJUST,Ajustar,Adjust
UI_HINT_BACK,Volver,Back
UI_HINT_NAVIGATE,Navegar,Navigate
UI_KEY_DPAD,Cruceta,D-pad
UI_NO_CONTROLLER,Sin mando conectado,No controller connected
UI_NO_CONTROLLER_WEB,Presioná un botón del mando para activarlo,Press a button on your controller to activate it
UI_OFF,Desactivado,Off
UI_OK,Aceptar,OK
UI_ON,Activado,On
